
Label=ph(V(V_filt)) vs 2*PI*F
LabelX=2*PI*F
LabelY=ph(V(V_filt))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(V(V_filt)),ph(V(V_filt))
 1.6085921012674465E+001, 1.0107082255928756E+002, 0.0000000000000000E+000,-5.2127417611768712E+000, 0.0000000000000000E+000
 1.6203992111920073E+001, 1.0181268515527012E+002, 0.0000000000000000E+000,-5.2509948975722773E+000, 0.0000000000000000E+000
 1.6322929856256504E+001, 1.0255999304295386E+002, 0.0000000000000000E+000,-5.2895286238620551E+000, 0.0000000000000000E+000
 1.6442740606882385E+001, 1.0331278619092855E+002, 0.0000000000000000E+000,-5.3283449953893927E+000, 0.0000000000000000E+000
 1.6563430771687699E+001, 1.0407110486115438E+002, 0.0000000000000000E+000,-5.3674460824907886E+000, 0.0000000000000000E+000
 1.6685006805596529E+001, 1.0483498961111552E+002, 0.0000000000000000E+000,-5.4068339706040387E+000, 0.0000000000000000E+000
 1.6807475210912269E+001, 1.0560448129598909E+002, 0.0000000000000000E+000,-5.4465107603769800E+000, 0.0000000000000000E+000
 1.6930842537665402E+001, 1.0637962107083040E+002, 0.0000000000000000E+000,-5.4864785677769836E+000, 0.0000000000000000E+000
 1.7055115383963809E+001, 1.0716045039277394E+002, 0.0000000000000000E+000,-5.5267395242011768E+000, 0.0000000000000000E+000
 1.7180300396345668E+001, 1.0794701102325072E+002, 0.0000000000000000E+000,-5.5672957765874953E+000, 0.0000000000000000E+000
 1.7306404270134927E+001, 1.0873934503022183E+002, 0.0000000000000000E+000,-5.6081494875264131E+000, 0.0000000000000000E+000
 1.7433433749799388E+001, 1.0953749479042823E+002, 0.0000000000000000E+000,-5.6493028353734962E+000, 0.0000000000000000E+000
 1.7561395629311441E+001, 1.1034150299165745E+002, 0.0000000000000000E+000,-5.6907580143627419E+000, 0.0000000000000000E+000
 1.7690296752511415E+001, 1.1115141263502647E+002, 0.0000000000000000E+000,-5.7325172347206292E+000, 0.0000000000000000E+000
