
Label=phase_vs_2_pi_freq
LabelX=2*PI*F
LabelY=ph(v(V_out))
Data Point Count=1001
F,2*PI*F,2*PI*F,ph(v(V_out)),ph(v(V_out))
 2.0231914891788034E+002, 1.2712087038419045E+003, 0.0000000000000000E+000,-4.1831148589210287E+001, 0.0000000000000000E+000
 2.0339394476861835E+002, 1.2779618453394792E+003, 0.0000000000000000E+000,-4.2053076203217898E+001, 0.0000000000000000E+000
 2.0447445034148078E+002, 1.2847508620792139E+003, 0.0000000000000000E+000,-4.2276178460100027E+001, 0.0000000000000000E+000
 2.0556069596867133E+002, 1.2915759446439656E+003, 0.0000000000000000E+000,-4.2500461541593232E+001, 0.0000000000000000E+000
 2.0665271214352993E+002, 1.2984372846290396E+003, 0.0000000000000000E+000,-4.2725931661619924E+001, 0.0000000000000000E+000
 2.0775052952138859E+002, 1.3053350746475676E+003, 0.0000000000000000E+000,-4.2952595066458251E+001, 0.0000000000000000E+000
 2.0885417892043210E+002, 1.3122695083359154E+003, 0.0000000000000000E+000,-4.3180458034909194E+001, 0.0000000000000000E+000
 2.0996369132256311E+002, 1.3192407803591186E+003, 0.0000000000000000E+000,-4.3409526878467297E+001, 0.0000000000000000E+000
 2.1107909787427181E+002, 1.3262490864163465E+003, 0.0000000000000000E+000,-4.3639807941490808E+001, 0.0000000000000000E+000
 2.1220042988751035E+002, 1.3332946232463969E+003, 0.0000000000000000E+000,-4.3871307601375527E+001, 0.0000000000000000E+000
 2.1332771884057181E+002, 1.3403775886332185E+003, 0.0000000000000000E+000,-4.4104032268726080E+001, 0.0000000000000000E+000
 2.1446099637897387E+002, 1.3474981814114631E+003, 0.0000000000000000E+000,-4.4337988387531006E+001, 0.0000000000000000E+000
 2.1560029431634717E+002, 1.3546566014720670E+003, 0.0000000000000000E+000,-4.4573182435337280E+001, 0.0000000000000000E+000
 2.1674564463532840E+002, 1.3618530497678632E+003, 0.0000000000000000E+000,-4.4809620923428355E+001, 0.0000000000000000E+000
 2.1789707948845813E+002, 1.3690877283192226E+003, 0.0000000000000000E+000,-4.5047310396999997E+001, 0.0000000000000000E+000
 2.1905463119908333E+002, 1.3763608402197233E+003, 0.0000000000000000E+000,-4.5286257435340254E+001, 0.0000000000000000E+000
 2.2021833226226488E+002, 1.3836725896418550E+003, 0.0000000000000000E+000,-4.5526468652008518E+001, 0.0000000000000000E+000
 2.2138821534568967E+002, 1.3910231818427476E+003, 0.0000000000000000E+000,-4.5767950695016687E+001, 0.0000000000000000E+000
 2.2256431329058773E+002, 1.3984128231699351E+003, 0.0000000000000000E+000,-4.6010710247012106E+001, 0.0000000000000000E+000
 2.2374665911265413E+002, 1.4058417210671480E+003, 0.0000000000000000E+000,-4.6254754025460329E+001, 0.0000000000000000E+000
 2.2493528600297574E+002, 1.4133100840801353E+003, 0.0000000000000000E+000,-4.6500088782830254E+001, 0.0000000000000000E+000
 2.2613022732896312E+002, 1.4208181218625207E+003, 0.0000000000000000E+000,-4.6746721306779868E+001, 0.0000000000000000E+000
 2.2733151663528707E+002, 1.4283660451816875E+003, 0.0000000000000000E+000,-4.6994658420343264E+001, 0.0000000000000000E+000
 2.2853918764482046E+002, 1.4359540659246943E+003, 0.0000000000000000E+000,-4.7243906982119469E+001, 0.0000000000000000E+000
 2.2975327425958471E+002, 1.4435823971042246E+003, 0.0000000000000000E+000,-4.7494473886462515E+001, 0.0000000000000000E+000
 2.3097381056170167E+002, 1.4512512528645650E+003, 0.0000000000000000E+000,-4.7746366063672312E+001, 0.0000000000000000E+000
 2.3220083081435027E+002, 1.4589608484876185E+003, 0.0000000000000000E+000,-4.7999590480185994E+001, 0.0000000000000000E+000
 2.3343436946272845E+002, 1.4667114003989466E+003, 0.0000000000000000E+000,-4.8254154138773636E+001, 0.0000000000000000E+000
 2.3467446113502007E+002, 1.4745031261738450E+003, 0.0000000000000000E+000,-4.8510064078732519E+001, 0.0000000000000000E+000
 2.3592114064336695E+002, 1.4823362445434520E+003, 0.0000000000000000E+000,-4.8767327376083543E+001, 0.0000000000000000E+000
 2.3717444298484622E+002, 1.4902109754008882E+003, 0.0000000000000000E+000,-4.9025951143769888E+001, 0.0000000000000000E+000
 2.3843440334245273E+002, 1.4981275398074301E+003, 0.0000000000000000E+000,-4.9285942531855540E+001, 0.0000000000000000E+000
 2.3970105708608665E+002, 1.5060861599987149E+003, 0.0000000000000000E+000,-4.9547308727726737E+001, 0.0000000000000000E+000
 2.4097443977354652E+002, 1.5140870593909797E+003, 0.0000000000000000E+000,-4.9810056956294680E+001, 0.0000000000000000E+000
 2.4225458715152732E+002, 1.5221304625873331E+003, 0.0000000000000000E+000,-5.0074194480199523E+001, 0.0000000000000000E+000
 2.4354153515662395E+002, 1.5302165953840602E+003, 0.0000000000000000E+000,-5.0339728600015214E+001, 0.0000000000000000E+000
 2.4483531991634015E+002, 1.5383456847769619E+003, 0.0000000000000000E+000,-5.0606666654456326E+001, 0.0000000000000000E+000
 2.4613597775010263E+002, 1.5465179589677264E+003, 0.0000000000000000E+000,-5.0875016020587992E+001, 0.0000000000000000E+000
 2.4744354517028060E+002, 1.5547336473703353E+003, 0.0000000000000000E+000,-5.1144784114034607E+001, 0.0000000000000000E+000
 2.4875805888321082E+002, 1.5629929806175046E+003, 0.0000000000000000E+000,-5.1415978389192610E+001, 0.0000000000000000E+000
 2.5007955579022797E+002, 1.5712961905671580E+003, 0.0000000000000000E+000,-5.1688606339443794E+001, 0.0000000000000000E+000
 2.5140807298870058E+002, 1.5796435103089366E+003, 0.0000000000000000E+000,-5.1962675497370867E+001, 0.0000000000000000E+000
 2.5274364777307244E+002, 1.5880351741707414E+003, 0.0000000000000000E+000,-5.2238193434973461E+001, 0.0000000000000000E+000
 2.5408631763590955E+002, 1.5964714177253122E+003, 0.0000000000000000E+000,-5.2515167763887554E+001, 0.0000000000000000E+000
 2.5543612026895258E+002, 1.6049524777968406E+003, 0.0000000000000000E+000,-5.2793606135605884E+001, 0.0000000000000000E+000
 2.5679309356417497E+002, 1.6134785924676169E+003, 0.0000000000000000E+000,-5.3073516241699608E+001, 0.0000000000000000E+000
 2.5815727561484670E+002, 1.6220500010847156E+003, 0.0000000000000000E+000,-5.3354905814044038E+001, 0.0000000000000000E+000
 2.5952870471660361E+002, 1.6306669442667132E+003, 0.0000000000000000E+000,-5.3637782625042568E+001, 0.0000000000000000E+000
 2.6090741936852237E+002, 1.6393296639104424E+003, 0.0000000000000000E+000,-5.3922154487856275E+001, 0.0000000000000000E+000
 2.6229345827420138E+002, 1.6480384031977840E+003, 0.0000000000000000E+000,-5.4208029256632344E+001, 0.0000000000000000E+000
 2.6368686034284724E+002, 1.6567934066024932E+003, 0.0000000000000000E+000,-5.4495414826736962E+001, 0.0000000000000000E+000
 2.6508766469036681E+002, 1.6655949198970616E+003, 0.0000000000000000E+000,-5.4784319134989090E+001, 0.0000000000000000E+000
 2.6649591064046558E+002, 1.6744431901596172E+003, 0.0000000000000000E+000,-5.5074750159895430E+001, 0.0000000000000000E+000
 2.6791163772575140E+002, 1.6833384657808613E+003, 0.0000000000000000E+000,-5.5366715921890105E+001, 0.0000000000000000E+000
 2.6933488568884434E+002, 1.6922809964710402E+003, 0.0000000000000000E+000,-5.5660224483572591E+001, 0.0000000000000000E+000
